slope_risk,rainfall_24h_mm,road_condition,bridge_condition,historical_disruptions,congestion_level,flood_risk_level,landslide_probability,elevation_m,river_proximity,month,road_distance_km,risk_score,risk_level,estimated_hours,delay_hours
57.1,3.9,0,0,0,1,8.6,0.044,797.0,0.4,2,74,12,low,1.6,0.0
23.3,1.2,0,0,1,1,43.0,0.669,422.0,0.65,10,485,8,low,10.2,0.1
19.4,0.1,1,0,0,1,10.0,0.08,250.0,0.6,12,230,14,low,6.6,1.8
19.2,13.1,0,0,6,3,100.0,0.332,40.0,0.75,6,310,31,medium,6.9,0.5
32.8,0.1,0,0,0,2,14.0,0.02,202.0,0.7,2,330,10,low,6.9,0.0
56.5,0.2,0,0,0,1,4.0,0.141,775.0,0.5,3,245,15,low,5.1,0.0
28.4,5.5,0,0,2,3,93.2,0.148,40.0,0.75,10,310,26,low,6.6,0.2
17.7,25.6,1,0,7,1,100.0,0.82,470.0,0.55,6,215,36,medium,7.0,2.6
11.8,1.6,0,0,0,0,14.4,0.021,68.0,0.85,2,175,8,low,3.7,0.0
27.7,0.9,1,0,1,1,10.2,0.082,250.0,0.6,12,230,17,low,6.6,1.8
41.9,12.4,1,0,7,1,100.0,0.654,488.0,0.55,8,140,38,medium,4.3,1.3
31.2,4.5,1,0,0,0,10.9,0.089,250.0,0.6,3,230,10,low,6.7,1.9
40.5,29.2,1,0,8,1,100.0,0.433,790.0,0.55,8,98,42,medium,3.3,1.2
23.7,7.1,0,0,1,2,16.0,0.024,202.0,0.7,2,330,12,low,7.1,0.3
17.5,18.2,1,0,5,1,100.0,0.545,115.0,0.75,6,195,33,medium,6.1,2.1
26.5,4.8,0,0,6,1,100.0,0.559,408.0,0.6,9,240,23,low,5.1,0.1
54.2,3.0,0,0,1,1,3.2,0.183,750.0,0.5,12,340,14,low,7.2,0.1
64.2,15.6,1,1,0,0,7.9,0.222,1041.0,0.3,2,200,23,low,6.2,2.0
47.9,0.6,0,1,1,2,14.2,0.02,594.0,0.5,1,440,14,low,9.2,0.0
22.2,0.6,0,0,0,2,14.2,0.02,35.0,0.85,11,550,9,low,11.5,0.0
59.4,25.3,0,0,5,0,100.0,0.816,688.0,0.6,9,210,34,medium,5.0,0.6
70.5,15.7,1,1,10,1,39.4,1.0,1117.0,0.35,8,145,45,medium,4.5,1.5
30.7,2.9,0,0,0,1,12.7,0.032,802.0,0.6,3,270,9,low,5.7,0.1
55.2,13.5,1,1,10,2,38.1,1.0,1117.0,0.35,7,145,41,medium,4.4,1.4
31.3,2.2,2,1,6,1,100.0,0.527,578.0,0.45,8,168,41,medium,11.3,7.8
19.6,0.8,0,0,1,0,79.2,0.265,408.0,0.6,4,240,13,low,5.0,0.0
16.4,6.9,0,0,6,0,95.6,0.152,102.0,0.7,10,270,22,low,5.8,0.2
41.6,44.5,1,0,7,1,100.0,0.792,802.0,0.6,6,270,50,medium,9.9,4.3
32.9,0.4,0,0,0,2,13.1,0.04,20.0,0.8,11,320,9,low,6.7,0.0
47.6,2.1,1,1,1,0,15.6,0.011,574.0,0.55,11,380,19,low,11.0,3.1
40.1,13.0,0,0,6,0,60.5,0.345,797.0,0.4,10,74,25,low,1.6,0.1
51.4,14.5,0,1,9,1,100.0,0.34,594.0,0.5,6,440,35,medium,9.9,0.7
33.9,3.7,0,0,0,2,12.9,0.033,802.0,0.6,11,270,7,low,5.7,0.1
53.6,4.8,2,2,4,1,39.5,1.0,870.0,0.45,10,310,40,medium,21.2,14.7
53.9,27.6,2,0,10,1,100.0,0.634,515.0,0.65,6,190,49,medium,14.7,10.7
33.5,2.7,0,1,7,2,100.0,0.401,802.0,0.6,6,270,33,medium,5.7,0.1
20.7,0.8,0,0,7,0,48.7,0.265,115.0,0.75,10,195,11,low,4.1,0.0
53.8,71.5,0,1,4,2,100.0,1.0,797.0,0.4,7,74,50,medium,2.4,0.9
14.8,8.2,0,0,7,1,100.0,0.452,802.0,0.6,9,270,26,low,5.9,0.2
43.6,3.3,0,0,6,2,100.0,0.406,802.0,0.6,6,270,30,low,5.7,0.1
32.2,0.7,0,0,0,1,4.1,0.142,775.0,0.5,1,245,13,low,5.1,0.0
42.0,18.2,1,1,6,2,100.0,0.728,578.0,0.45,7,168,39,medium,5.3,1.8
33.3,24.3,1,1,8,1,100.0,1.0,215.0,0.75,7,280,48,medium,9.1,3.3
40.8,3.7,0,0,7,2,32.2,1.0,750.0,0.5,8,340,25,low,7.2,0.1
51.2,0.5,1,0,4,0,78.8,0.263,488.0,0.55,5,140,23,low,4.0,1.1
34.2,49.1,2,0,6,2,100.0,1.0,488.0,0.55,9,140,58,medium,12.4,9.5
13.4,34.1,0,0,5,2,100.0,1.0,215.0,0.75,9,280,35,medium,7.0,1.2
43.6,22.2,1,1,6,1,86.6,1.0,550.0,0.5,9,110,43,medium,3.5,1.2
46.0,0.2,0,0,3,1,14.0,0.02,40.0,0.75,12,310,13,low,6.5,0.0
37.8,16.6,0,0,8,3,100.0,0.708,408.0,0.6,7,240,40,medium,5.5,0.5
29.5,1.3,0,0,3,2,80.0,0.268,688.0,0.6,5,210,21,low,4.4,0.0
2.5,86.1,0,0,6,3,100.0,0.788,40.0,0.75,8,310,46,medium,11.3,4.9
27.6,6.5,1,0,8,0,100.0,0.29,202.0,0.7,8,330,34,medium,9.7,2.9
42.6,6.1,0,0,5,2,87.5,0.299,688.0,0.6,4,210,23,low,4.5,0.1
27.6,1.3,0,0,0,1,4.1,0.145,775.0,0.5,12,245,9,low,5.1,0.0
51.0,2.2,1,1,0,1,3.1,0.179,1117.0,0.35,3,145,12,low,4.2,1.2
44.8,12.1,0,0,3,2,96.8,0.338,408.0,0.6,4,240,23,low,5.3,0.3
29.9,5.4,1,0,6,2,44.3,1.0,775.0,0.5,9,245,29,low,7.2,2.1
61.8,1.0,1,1,0,0,6.1,0.164,1041.0,0.3,12,200,20,low,5.7,1.6
51.7,38.4,1,1,7,2,100.0,1.0,550.0,0.5,9,110,47,medium,3.9,1.6
21.0,4.7,0,0,1,3,15.3,0.022,35.0,0.85,3,550,13,low,11.7,0.3
20.4,0.8,0,0,0,3,8.1,0.041,115.0,0.75,1,195,14,low,4.1,0.0
38.5,0.4,1,0,0,2,12.1,0.03,515.0,0.65,12,190,20,low,5.4,1.5
37.2,2.8,0,0,1,2,13.7,0.043,688.0,0.6,3,210,5,low,4.4,0.1
40.0,3.6,0,0,0,0,13.9,0.044,688.0,0.6,11,210,9,low,4.5,0.1
3.5,4.3,0,0,2,1,78.2,0.216,115.0,0.75,10,195,10,low,4.2,0.1
16.0,22.1,0,0,8,2,100.0,0.776,115.0,0.75,7,195,35,medium,4.6,0.5
28.5,38.7,1,0,8,1,100.0,0.492,202.0,0.7,7,330,38,medium,11.7,4.8
80.9,7.3,2,1,9,1,45.8,1.0,1238.0,0.35,8,190,51,medium,13.1,9.2
14.9,0.2,0,0,0,0,14.0,0.02,68.0,0.85,12,175,3,low,3.6,0.0
55.3,2.7,1,1,2,1,7.4,0.107,961.0,0.35,11,390,25,low,11.3,3.2
32.0,3.3,0,0,0,2,4.3,0.152,775.0,0.5,2,245,17,low,5.2,0.1
37.8,6.0,1,0,5,3,53.8,0.299,470.0,0.55,4,215,27,low,6.3,1.9
32.9,18.9,1,0,4,3,100.0,0.736,408.0,0.6,8,240,37,medium,7.6,2.6
67.6,8.3,1,1,8,2,46.6,1.0,1438.0,0.4,9,85,47,medium,2.5,0.8
36.9,4.9,0,0,7,2,100.0,1.0,215.0,0.75,6,280,29,low,6.0,0.1
12.9,0.8,0,0,0,1,14.2,0.02,40.0,0.75,2,310,8,low,6.5,0.0
73.9,5.3,1,1,0,0,7.7,0.113,961.0,0.35,1,390,19,low,11.4,3.3
44.5,3.2,1,0,10,3,100.0,0.405,762.0,0.55,8,265,45,medium,7.7,2.2
70.7,0.6,1,1,1,3,18.2,1.0,1117.0,0.35,4,145,29,low,4.2,1.1
33.0,0.5,1,0,0,0,12.1,0.03,515.0,0.65,11,190,5,low,5.4,1.5
46.5,0.8,1,1,0,1,6.1,0.163,550.0,0.5,2,110,25,low,3.2,0.9
5.9,0.5,0,0,0,0,13.1,0.041,20.0,0.8,2,320,2,low,6.7,0.0
48.4,2.4,1,0,1,0,12.6,0.032,762.0,0.55,1,265,17,low,7.7,2.1
79.5,0.0,2,2,1,1,6.0,0.16,870.0,0.45,12,310,30,low,20.7,14.2
19.1,8.9,1,0,11,2,100.0,0.612,488.0,0.55,7,140,39,medium,4.2,1.3
14.0,8.6,0,0,4,1,98.4,0.158,68.0,0.85,4,175,22,low,3.8,0.2
48.7,0.4,1,0,7,0,72.6,0.197,515.0,0.65,10,190,26,low,5.4,1.5
48.4,0.8,0,0,0,0,3.1,0.174,750.0,0.5,1,340,12,low,7.1,0.0
58.1,4.7,0,0,0,3,4.4,0.157,1438.0,0.4,2,85,17,low,1.8,0.0
47.0,0.6,1,1,0,0,3.0,0.172,1117.0,0.35,12,145,14,low,4.2,1.1
17.1,38.1,0,0,2,0,100.0,0.254,102.0,0.7,4,270,25,low,6.9,1.3
14.0,0.4,0,0,0,0,14.1,0.02,35.0,0.85,2,550,4,low,11.5,0.0
64.5,4.9,2,2,0,0,6.6,0.18,870.0,0.45,3,310,26,low,21.2,14.7
47.1,0.4,1,0,1,3,12.1,0.03,515.0,0.65,11,190,22,low,5.4,1.5
8.7,3.4,0,0,0,1,12.8,0.033,115.0,0.75,2,195,6,low,4.1,0.1
36.9,1.0,0,0,4,1,85.7,0.133,68.0,0.85,10,175,17,low,3.7,0.0
38.9,5.9,0,0,9,2,33.6,1.0,750.0,0.5,6,340,27,low,7.3,0.2
11.8,27.0,0,0,4,1,100.0,0.628,115.0,0.75,7,195,25,low,4.7,0.6
34.3,2.4,0,0,0,2,13.6,0.042,408.0,0.6,2,240,12,low,5.1,0.1
18.6,6.6,1,0,0,1,13.6,0.035,515.0,0.65,2,190,12,low,5.6,1.7
60.8,4.4,0,0,1,1,87.0,0.554,797.0,0.4,6,74,29,low,1.6,0.0
32.3,0.3,1,0,3,0,72.5,0.197,515.0,0.65,4,190,17,low,5.4,1.5
29.2,17.4,0,0,1,1,100.0,0.186,202.0,0.7,4,330,19,low,7.5,0.7
65.9,0.3,1,0,0,0,6.0,0.161,1197.0,0.3,12,180,13,low,5.2,1.4
58.9,5.5,2,2,6,1,39.9,1.0,870.0,0.45,4,310,45,medium,21.2,14.8
23.7,2.6,1,0,3,2,63.1,0.553,250.0,0.6,4,230,26,low,6.7,1.9
89.9,2.9,1,0,0,0,6.4,0.172,1197.0,0.3,11,180,17,low,5.2,1.5
40.9,14.0,1,0,5,1,100.0,0.675,688.0,0.6,8,210,37,medium,6.5,2.1
29.3,21.1,1,0,5,0,100.0,0.382,102.0,0.7,9,270,27,low,8.6,3.0
45.2,87.5,2,0,3,3,100.0,1.0,1238.0,0.35,6,190,64,high,22.5,18.6
42.9,18.7,0,0,4,0,100.0,0.733,115.0,0.75,6,195,32,medium,4.5,0.4
26.2,0.9,0,0,0,0,7.1,0.102,422.0,0.65,2,485,1,low,10.1,0.0
18.6,2.9,0,0,0,0,14.8,0.021,102.0,0.7,1,270,1,low,5.7,0.1
27.0,2.2,0,0,0,3,14.6,0.021,40.0,0.75,1,310,13,low,6.5,0.1
42.7,10.3,2,0,8,2,96.5,0.629,470.0,0.55,9,215,43,medium,15.1,10.6
13.7,0.0,1,0,5,0,80.1,0.501,115.0,0.75,7,195,22,low,5.6,1.5
26.6,23.7,0,0,5,0,100.0,0.311,115.0,0.75,5,195,23,low,4.6,0.5
20.3,9.6,0,0,7,3,100.0,0.31,202.0,0.7,9,330,29,low,7.2,0.3
22.7,4.2,0,1,7,2,100.0,0.414,115.0,0.75,9,195,31,medium,4.1,0.1
14.9,1.7,0,0,2,1,86.9,0.136,102.0,0.7,5,270,17,low,5.7,0.0
48.1,8.9,0,0,1,0,15.3,0.049,688.0,0.6,1,210,11,low,4.6,0.2
60.4,0.5,1,1,2,1,3.0,0.172,1117.0,0.35,2,145,26,low,4.2,1.1
29.3,3.0,1,0,5,1,89.0,0.14,502.0,0.6,5,270,28,low,7.8,2.2
40.1,2.7,0,0,0,0,12.7,0.032,802.0,0.6,2,270,9,low,5.7,0.1
30.7,0.1,1,0,0,0,12.0,0.03,515.0,0.65,12,190,7,low,5.4,1.5
25.3,60.5,1,0,8,2,100.0,1.0,215.0,0.75,6,280,47,medium,11.5,5.6
11.1,5.6,0,0,0,0,14.4,0.046,20.0,0.8,3,320,8,low,6.9,0.2
56.0,0.8,1,1,1,2,6.1,0.163,550.0,0.5,12,110,26,low,3.2,0.9
33.4,36.5,0,0,8,1,100.0,0.478,790.0,0.55,6,98,39,medium,2.5,0.5
20.3,1.3,0,0,6,2,86.2,0.134,102.0,0.7,5,270,22,low,5.7,0.0
14.2,2.1,0,1,8,1,100.0,0.263,102.0,0.7,8,270,32,medium,5.7,0.1
26.3,5.5,0,0,5,0,66.6,0.592,215.0,0.75,10,280,14,low,6.0,0.2
21.7,7.1,1,0,6,2,82.2,0.23,762.0,0.55,5,265,29,low,7.8,2.3
57.4,4.2,0,1,3,2,91.0,0.144,594.0,0.5,4,440,34,medium,9.4,0.2
16.6,1.9,0,0,2,2,14.5,0.021,68.0,0.85,1,175,9,low,3.7,0.0
34.5,33.6,0,0,3,0,100.0,0.239,68.0,0.85,4,175,21,low,4.4,0.7
80.6,46.6,1,0,8,0,77.3,1.0,1238.0,0.35,7,190,45,medium,7.1,3.1
0.0,17.7,1,0,6,2,100.0,0.361,40.0,0.75,9,310,29,low,9.7,3.3
16.3,12.1,0,0,4,0,59.6,0.338,115.0,0.75,4,195,18,low,4.3,0.3
24.4,0.6,0,0,0,0,8.1,0.041,115.0,0.75,12,195,4,low,4.1,0.0
22.1,5.6,0,0,2,0,93.4,0.148,102.0,0.7,10,270,12,low,5.8,0.2
37.4,0.9,1,0,0,3,10.2,0.082,250.0,0.6,11,230,19,low,6.6,1.8
48.0,0.9,0,0,5,2,73.3,0.2,802.0,0.6,4,270,25,low,5.7,0.0
12.8,14.8,0,0,7,1,100.0,0.342,40.0,0.75,7,310,23,low,7.0,0.5
53.7,4.7,1,0,2,0,39.4,1.0,1197.0,0.3,5,180,27,low,5.3,1.5
54.8,0.4,1,1,1,0,7.1,0.101,961.0,0.35,1,390,17,low,11.2,3.0
76.5,3.8,1,0,3,2,38.7,1.0,1197.0,0.3,10,180,33,medium,5.2,1.5
27.2,20.8,1,0,6,3,100.0,0.76,688.0,0.6,8,210,43,medium,6.7,2.3
38.0,0.2,1,1,1,3,13.1,0.04,578.0,0.45,12,168,22,low,4.8,1.3
18.3,3.9,0,0,1,0,14.0,0.044,688.0,0.6,3,210,9,low,4.5,0.1
30.4,3.3,0,0,0,0,8.5,0.043,115.0,0.75,1,195,3,low,4.1,0.1
43.4,1.0,0,0,0,2,4.1,0.143,775.0,0.5,11,245,6,low,5.1,0.0
20.5,4.5,0,0,9,2,100.0,0.278,68.0,0.85,6,175,36,medium,3.7,0.1
40.1,4.2,2,2,0,0,6.5,0.177,870.0,0.45,2,310,20,low,21.1,14.6
47.0,44.0,0,0,6,0,100.0,1.0,688.0,0.6,7,210,38,medium,5.6,1.2
25.7,0.0,0,0,1,0,12.0,0.03,115.0,0.75,12,195,4,low,4.1,0.0
2.8,8.5,0,0,3,2,98.3,0.158,40.0,0.75,4,310,23,low,6.7,0.3
47.4,35.6,1,1,7,1,100.0,0.236,574.0,0.55,7,380,51,medium,13.2,5.3
22.6,0.4,0,0,4,0,84.7,0.131,202.0,0.7,10,330,15,low,6.9,0.0
45.8,1.6,1,0,1,2,12.4,0.031,515.0,0.65,11,190,21,low,5.5,1.5
23.3,1.6,0,0,2,1,86.7,0.135,102.0,0.7,10,270,17,low,5.7,0.0
54.7,0.8,1,1,0,3,3.0,0.173,1117.0,0.35,11,145,23,low,4.2,1.1
6.5,4.9,0,0,1,0,85.6,0.292,688.0,0.6,5,210,14,low,4.5,0.1
54.2,63.0,1,1,5,2,100.0,1.0,1041.0,0.3,7,200,53,medium,8.3,4.2
68.6,64.2,1,1,13,0,100.0,1.0,1041.0,0.3,8,200,62,high,8.4,4.2
67.9,9.7,1,1,0,2,15.5,0.05,578.0,0.45,3,168,25,low,5.0,1.5
11.6,1.0,0,0,0,0,14.3,0.02,35.0,0.85,3,550,6,low,11.5,0.1
43.5,1.1,1,0,8,0,30.7,1.0,750.0,0.5,8,340,23,low,9.8,2.7
34.3,5.6,0,0,4,1,26.7,1.0,775.0,0.5,4,245,17,low,5.3,0.1
44.8,7.6,1,1,4,2,48.4,0.773,961.0,0.35,5,390,39,medium,11.6,3.5
17.9,4.2,0,0,0,2,15.2,0.022,202.0,0.7,3,330,10,low,7.0,0.1
64.3,1.1,2,2,0,1,6.1,0.164,870.0,0.45,12,310,31,medium,20.8,14.3
22.7,7.9,0,0,3,2,97.2,0.156,40.0,0.75,4,310,22,low,6.7,0.3
70.6,3.0,1,1,0,0,6.4,0.172,1041.0,0.3,3,200,16,low,5.8,1.6
28.1,1.2,0,0,5,0,100.0,0.515,688.0,0.6,6,210,20,low,4.4,0.0
53.6,2.2,2,2,3,2,37.6,1.0,870.0,0.45,5,310,37,medium,20.9,14.4
28.3,3.4,0,0,1,3,12.8,0.033,802.0,0.6,1,270,15,low,5.7,0.1
37.0,14.6,0,0,7,1,38.8,1.0,750.0,0.5,9,340,28,low,7.6,0.6
69.1,0.3,1,1,1,2,7.0,0.101,961.0,0.35,2,390,29,low,11.2,3.0
27.3,8.0,1,0,0,0,13.9,0.036,515.0,0.65,2,190,17,low,5.7,1.7
49.8,29.8,1,0,0,0,20.8,0.07,488.0,0.55,3,140,20,low,4.7,1.8
46.1,6.2,2,0,7,3,89.8,0.577,470.0,0.55,6,215,36,medium,14.8,10.3
27.4,14.5,0,0,4,1,100.0,0.177,202.0,0.7,10,330,23,low,7.4,0.5
23.3,0.3,0,0,0,3,14.1,0.02,102.0,0.7,1,270,10,low,5.6,0.0
34.0,0.8,1,1,0,1,13.2,0.041,578.0,0.45,11,168,17,low,4.8,1.3
28.9,9.1,1,0,0,3,14.2,0.037,515.0,0.65,2,190,17,low,5.7,1.7
65.2,1.1,0,0,0,0,4.1,0.144,1438.0,0.4,2,85,11,low,1.8,0.0
75.6,1.7,1,1,0,0,7.2,0.104,961.0,0.35,1,390,23,low,11.2,3.1
59.2,1.8,1,1,0,0,3.1,0.178,1117.0,0.35,12,145,21,low,4.2,1.2
21.9,12.5,0,1,9,0,100.0,0.328,790.0,0.55,7,98,29,low,2.2,0.1
44.5,4.8,0,0,1,0,14.3,0.045,408.0,0.6,3,240,10,low,5.1,0.1
30.4,3.4,0,0,1,0,3.2,0.185,750.0,0.5,3,340,12,low,7.2,0.1
30.9,5.4,0,0,0,0,14.4,0.045,688.0,0.6,11,210,6,low,4.5,0.1
9.6,6.2,0,1,13,0,90.0,0.578,115.0,0.75,9,195,35,medium,4.2,0.1
32.4,1.3,0,0,1,1,8.2,0.041,797.0,0.4,3,74,7,low,1.6,0.0
32.0,4.4,1,1,1,1,98.0,0.072,574.0,0.55,4,380,27,low,11.1,3.2
37.6,5.6,0,0,8,1,100.0,0.285,790.0,0.55,7,98,29,low,2.1,0.1
44.6,10.8,0,0,10,2,100.0,1.0,215.0,0.75,6,280,46,medium,6.2,0.3
45.0,33.6,0,0,2,0,80.3,0.479,797.0,0.4,5,74,24,low,1.9,0.3
70.1,14.1,1,1,1,0,46.2,1.0,1041.0,0.3,10,200,28,low,6.1,2.0
51.8,0.8,1,1,1,2,6.1,0.163,550.0,0.5,1,110,22,low,3.2,0.9
14.8,18.6,0,0,9,2,96.1,1.0,422.0,0.65,9,485,33,medium,11.1,1.0
32.4,1.2,1,0,0,0,13.3,0.041,488.0,0.55,3,140,13,low,4.0,1.1
43.4,7.2,0,0,3,1,89.2,0.306,688.0,0.6,5,210,18,low,4.5,0.2
36.8,4.8,1,0,1,1,92.0,0.146,502.0,0.6,4,270,26,low,7.9,2.3
67.4,21.6,1,0,6,3,100.0,0.77,797.0,0.4,6,74,52,medium,2.4,0.8
39.4,3.2,0,0,0,0,12.8,0.032,802.0,0.6,3,270,5,low,5.7,0.1
73.9,0.5,1,1,1,1,6.1,0.162,1041.0,0.3,12,200,20,low,5.7,1.6
32.7,0.2,0,0,0,2,14.1,0.02,790.0,0.55,12,98,10,low,2.0,0.0
7.5,0.1,0,0,8,3,72.1,0.195,115.0,0.75,10,195,27,low,4.1,0.0
19.6,12.1,0,0,11,1,100.0,1.0,215.0,0.75,9,280,32,medium,6.2,0.4
36.9,0.4,0,0,0,0,14.1,0.02,202.0,0.7,1,330,4,low,6.9,0.0
45.6,1.1,1,0,0,1,13.3,0.041,488.0,0.55,1,140,18,low,4.0,1.1
0.0,3.8,0,0,5,1,100.0,0.274,68.0,0.85,6,175,15,low,3.7,0.1
56.9,10.1,1,1,4,3,100.0,0.47,515.0,0.65,6,190,46,medium,5.7,1.8
72.3,0.5,1,1,0,0,6.1,0.162,1041.0,0.3,1,200,17,low,5.7,1.6
15.9,1.0,0,0,0,2,12.2,0.031,115.0,0.75,2,195,10,low,4.1,0.0
56.0,3.7,1,0,0,0,4.3,0.153,1238.0,0.35,2,190,15,low,5.5,1.6
43.2,0.7,1,0,2,0,48.6,0.264,470.0,0.55,10,215,21,low,6.2,1.7
61.4,14.6,2,2,9,0,77.5,1.0,870.0,0.45,6,310,44,medium,22.3,15.8
77.5,0.2,1,1,2,3,3.0,0.171,1117.0,0.35,11,145,30,low,4.1,1.1
74.3,3.6,1,1,0,2,6.4,0.174,1041.0,0.3,3,200,24,low,5.8,1.7
36.7,1.5,0,0,7,1,24.7,0.944,775.0,0.5,4,245,20,low,5.1,0.0
32.5,10.9,0,0,8,2,100.0,0.477,802.0,0.6,7,270,31,medium,5.9,0.3
50.1,1.7,1,0,0,2,12.4,0.031,515.0,0.65,3,190,15,low,5.5,1.5
29.2,2.5,1,0,3,0,50.4,0.276,470.0,0.55,10,215,15,low,6.2,1.7
96.7,19.0,1,1,3,0,49.7,1.0,1041.0,0.3,10,200,40,medium,6.3,2.1
12.3,21.2,0,1,5,2,100.0,0.382,35.0,0.85,8,550,31,medium,12.8,1.4
58.1,17.1,0,0,6,0,100.0,0.713,688.0,0.6,6,210,35,medium,4.8,0.4
23.2,0.4,0,0,0,1,14.1,0.02,202.0,0.7,12,330,5,low,6.9,0.0
43.5,0.8,0,0,9,1,40.7,1.0,1438.0,0.4,8,85,34,medium,1.8,0.0
14.3,17.1,1,0,14,0,100.0,0.357,102.0,0.7,6,270,33,medium,8.4,2.8
35.9,3.2,0,0,0,0,14.9,0.022,68.0,0.85,1,175,0,low,3.7,0.1
29.8,0.2,0,0,1,2,8.0,0.04,115.0,0.75,3,195,19,low,4.1,0.0
30.6,25.9,1,1,7,1,100.0,1.0,215.0,0.75,7,280,39,medium,9.2,3.4
28.6,1.7,0,0,8,1,43.4,0.677,422.0,0.65,10,485,26,low,10.2,0.1
25.2,9.6,1,0,0,1,15.5,0.05,488.0,0.55,3,140,16,low,4.2,1.3
0.0,4.9,0,0,6,0,92.2,0.146,40.0,0.75,5,310,18,low,6.6,0.2
13.3,3.6,0,0,1,0,13.9,0.044,20.0,0.8,2,320,4,low,6.8,0.1
35.4,2.6,1,0,8,0,100.0,0.4,762.0,0.55,7,265,31,medium,7.7,2.2
34.0,0.2,0,0,9,2,100.0,0.251,202.0,0.7,6,330,36,medium,6.9,0.0
48.7,0.4,0,0,1,0,7.1,0.101,422.0,0.65,12,485,10,low,10.1,0.0
49.3,3.5,1,0,3,2,77.1,0.212,762.0,0.55,10,265,23,low,7.7,2.2
29.9,3.5,1,0,0,0,12.8,0.033,762.0,0.55,1,265,14,low,7.7,2.2
35.8,5.3,0,0,4,1,86.3,0.294,408.0,0.6,4,240,16,low,5.1,0.1
4.0,3.9,0,0,0,0,14.0,0.044,20.0,0.8,11,320,7,low,6.8,0.1
33.3,6.2,0,0,1,0,14.6,0.046,688.0,0.6,2,210,10,low,4.5,0.1
23.1,21.5,0,0,0,0,14.3,0.123,215.0,0.75,3,280,7,low,6.5,0.7
8.7,11.4,0,0,8,3,100.0,0.321,68.0,0.85,7,175,30,low,3.9,0.2
24.5,19.2,0,0,5,0,58.1,0.962,422.0,0.65,4,485,22,low,11.2,1.1
29.0,0.8,0,0,2,1,13.2,0.041,408.0,0.6,3,240,10,low,5.0,0.0
3.1,26.7,0,0,7,1,100.0,0.417,202.0,0.7,8,330,28,low,7.9,1.1
40.2,4.5,1,0,6,2,87.2,0.556,470.0,0.55,8,215,34,medium,6.3,1.8
24.3,1.5,0,0,1,1,14.4,0.021,202.0,0.7,11,330,10,low,6.9,0.1
28.0,6.4,1,0,14,1,100.0,0.435,802.0,0.6,6,270,39,medium,8.0,2.3
38.7,6.2,0,0,0,0,3.4,0.196,750.0,0.5,1,340,11,low,7.3,0.2
78.2,31.6,1,1,4,0,68.5,1.0,961.0,0.35,5,390,45,medium,13.2,5.1
64.8,2.9,1,1,5,0,38.1,1.0,550.0,0.5,10,110,34,medium,3.2,0.9
4.1,1.2,0,0,0,1,14.3,0.021,35.0,0.85,2,550,9,low,11.5,0.1
31.1,3.8,0,0,3,0,51.6,0.284,115.0,0.75,10,195,7,low,4.1,0.1
54.9,11.6,1,0,10,1,100.0,0.322,502.0,0.6,7,270,43,medium,8.2,2.6
29.1,1.0,0,0,3,2,42.8,0.666,422.0,0.65,10,485,18,low,10.2,0.1
11.8,1.3,0,0,4,0,43.1,0.671,422.0,0.65,5,485,9,low,10.2,0.1
22.2,39.3,0,0,9,2,100.0,0.496,40.0,0.75,9,310,44,medium,8.0,1.6
16.8,1.0,0,0,0,3,12.2,0.031,115.0,0.75,2,195,11,low,4.1,0.0
49.7,1.5,0,0,2,3,3.1,0.176,750.0,0.5,3,340,26,low,7.1,0.1
39.9,11.3,1,0,4,2,88.3,0.25,762.0,0.55,4,265,34,medium,8.0,2.5
39.2,0.2,1,0,0,1,12.0,0.03,515.0,0.65,1,190,14,low,5.4,1.5
49.1,11.3,1,1,6,3,22.1,1.0,1117.0,0.35,4,145,43,medium,4.4,1.4
18.4,5.1,0,0,3,0,79.4,0.22,115.0,0.75,10,195,14,low,4.2,0.1
11.9,4.0,0,0,0,0,15.1,0.022,102.0,0.7,2,270,2,low,5.7,0.1
42.1,14.0,1,0,3,1,100.0,0.674,470.0,0.55,9,215,23,low,6.6,2.1
52.4,1.1,1,1,1,2,7.2,0.103,961.0,0.35,1,390,20,low,11.2,3.1
32.2,9.0,1,1,9,0,100.0,0.153,574.0,0.55,7,380,38,medium,11.4,3.5
10.7,2.1,0,0,0,1,14.6,0.021,35.0,0.85,2,550,1,low,11.6,0.1
16.2,29.3,0,0,4,2,100.0,0.225,35.0,0.85,5,550,28,low,13.4,2.0
48.6,19.3,0,1,7,2,55.5,1.0,775.0,0.5,7,245,37,medium,5.7,0.5
21.8,2.5,0,0,0,0,7.3,0.106,422.0,0.65,1,485,5,low,10.2,0.1
50.6,0.9,1,0,1,1,8.2,0.041,470.0,0.55,3,215,20,low,6.2,1.7
24.7,4.6,1,0,1,0,8.7,0.045,470.0,0.55,1,215,11,low,6.3,1.8
68.1,1.3,0,0,1,0,4.1,0.145,1438.0,0.4,12,85,11,low,1.8,0.0
23.1,2.5,0,0,8,2,44.1,0.69,422.0,0.65,5,485,30,low,10.2,0.1
37.2,38.4,1,0,8,1,100.0,0.49,790.0,0.55,6,98,45,medium,3.5,1.4
42.0,5.9,2,1,8,2,67.1,1.0,550.0,0.5,8,110,49,medium,7.6,5.3
49.7,2.9,1,0,1,0,13.8,0.043,488.0,0.55,3,140,12,low,4.1,1.1
22.2,16.0,0,0,8,1,39.6,1.0,750.0,0.5,6,340,31,medium,7.7,0.6
