distance_km,road_condition,bridge_condition,avg_slope_risk,avg_elevation_m,rainfall_24h_mm,temp_celsius,congestion_level,flood_risk_level,landslide_probability,commodity_type,weight_kg,priority,month,delay_minutes,safety_score,route_rank
208.7,1,1,75.9,1041.0,5.1,26.5,0,6.0,0.16,agri,7384.0,2,11,254.8,75,2
265.6,0,0,26.7,102.0,27.4,18.2,1,100.0,0.25,fuel,1738.0,3,9,285.5,62,1
188.5,1,0,67.0,1197.0,10.2,28.4,1,36.0,1.0,food,1586.0,4,5,433.9,47,2
259.4,0,0,35.1,802.0,27.2,22.1,2,100.0,0.375,fuel,1398.0,3,6,511.9,51,1
141.1,1,0,47.4,488.0,0.3,18.6,0,13.0,0.04,food,6615.0,4,2,79.5,83,2
181.3,1,0,30.7,515.0,4.1,27.8,0,72.0,0.195,construction,2046.0,1,4,131.7,73,2
96.7,0,0,34.9,790.0,1.7,31.0,2,100.0,0.25,fuel,4635.0,3,6,100.6,67,1
192.5,1,0,56.0,1238.0,11.8,26.2,0,40.0,1.0,fuel,13907.0,3,8,316.0,58,2
181.6,1,0,44.6,515.0,2.7,33.5,0,72.0,0.195,medicine,5477.0,5,10,127.0,75,2
279.5,0,0,18.0,102.0,8.3,26.8,1,84.0,0.13,construction,1656.0,1,5,146.0,74,1
493.9,0,0,32.1,422.0,24.3,27.8,2,70.0,1.0,construction,6393.0,1,9,1323.6,47,1
202.4,0,0,15.2,115.0,4.0,33.3,0,48.0,0.26,medicine,3426.0,5,10,32.9,82,1
197.8,1,0,35.4,515.0,21.4,29.5,2,100.0,0.375,general,7375.0,1,6,596.3,49,2
262.6,0,0,16.7,102.0,15.2,18.7,0,100.0,0.25,construction,14777.0,1,8,90.2,62,1
368.9,1,1,39.5,574.0,2.6,21.5,1,100.0,0.125,food,805.0,4,6,636.7,67,2
257.4,0,0,39.3,802.0,2.0,31.9,0,12.0,0.03,construction,12529.0,1,3,9.6,90,1
221.6,1,0,33.3,250.0,5.0,30.8,0,10.0,0.08,medicine,14104.0,5,1,149.9,86,2
371.5,1,1,44.5,574.0,1.7,29.9,2,15.0,0.01,agri,1425.0,2,3,945.7,77,2
262.0,1,0,48.6,762.0,1.1,23.2,1,12.0,0.03,agri,13108.0,2,3,269.4,80,2
135.5,1,0,47.2,488.0,57.1,21.7,0,100.0,0.5,fuel,9319.0,3,6,494.6,41,2
179.0,1,0,66.8,1197.0,4.1,21.9,1,6.0,0.16,agri,2936.0,2,2,213.8,75,2
165.6,1,1,51.3,578.0,0.9,19.0,0,13.0,0.04,fuel,9168.0,3,11,170.5,84,2
111.8,1,1,45.7,550.0,2.7,29.9,0,6.0,0.16,general,10530.0,1,3,129.7,74,2
315.0,2,2,57.2,870.0,0.2,24.3,1,36.0,1.0,fuel,13694.0,3,10,2542.8,52,2
337.2,0,0,25.3,202.0,9.4,31.6,1,100.0,0.25,general,6098.0,1,9,207.3,69,1
277.4,1,0,42.2,762.0,4.9,19.4,0,72.0,0.195,fuel,8471.0,3,10,206.3,72,2
193.4,0,0,21.1,115.0,7.1,21.5,0,12.0,0.03,general,14592.0,1,3,21.0,95,1
85.1,0,0,55.3,1438.0,1.8,26.0,0,24.0,0.91,medicine,2372.0,5,10,42.7,70,1
96.0,0,0,30.5,790.0,3.3,26.0,0,14.0,0.02,medicine,14129.0,5,2,4.8,89,1
315.0,0,0,22.1,20.0,7.8,26.2,3,13.0,0.04,food,1228.0,4,11,686.8,82,1
187.1,0,0,19.5,115.0,4.9,22.8,1,48.0,0.26,general,6711.0,1,10,99.5,75,1
93.4,0,0,35.5,790.0,24.2,18.2,1,100.0,0.25,general,8265.0,1,8,91.5,61,1
179.6,1,0,66.0,1197.0,1.0,33.1,1,6.0,0.16,agri,13940.0,2,11,200.8,79,2
507.4,0,0,32.2,422.0,4.3,25.7,0,42.0,0.65,general,4546.0,1,4,188.8,69,1
213.0,1,0,33.5,470.0,60.2,18.9,0,48.0,0.26,construction,6874.0,1,5,770.3,60,3
270.3,0,0,17.2,102.0,0.2,23.4,3,14.0,0.02,medicine,14198.0,5,12,513.7,85,1
260.6,1,0,40.9,762.0,12.7,33.5,0,100.0,0.375,construction,7024.0,1,8,274.6,58,2
494.4,0,0,32.6,422.0,17.4,34.9,1,70.0,1.0,food,6382.0,4,8,718.6,48,1
82.2,0,0,70.1,1438.0,20.0,32.5,0,24.0,0.91,food,8385.0,4,10,74.0,61,1
203.9,1,1,62.1,1041.0,0.7,34.8,2,6.0,0.16,agri,2972.0,2,12,547.7,79,2
242.2,0,0,36.1,775.0,9.4,25.3,2,40.0,1.0,food,8859.0,4,7,492.6,63,1
187.0,1,0,60.1,1238.0,21.9,22.1,0,40.0,1.0,fuel,632.0,3,9,377.2,47,2
558.2,0,0,10.4,35.0,11.3,25.6,2,100.0,0.25,food,2522.0,4,6,720.1,67,1
392.7,1,1,58.3,961.0,3.6,27.9,0,7.0,0.1,agri,7140.0,2,2,447.0,85,2
336.4,0,0,37.2,750.0,15.3,22.1,2,18.0,1.0,food,14516.0,4,4,762.1,58,1
546.9,0,0,4.4,35.0,0.6,26.9,2,14.0,0.02,agri,1249.0,2,1,469.0,93,1
70.7,0,0,47.0,797.0,1.9,24.0,0,48.0,0.26,construction,3288.0,1,10,9.3,71,1
206.0,0,0,49.5,688.0,16.2,25.0,3,13.0,0.04,agri,4003.0,2,3,520.2,73,1
203.6,1,1,71.3,1041.0,12.6,28.3,0,36.0,1.0,food,9144.0,4,4,488.3,51,2
286.7,0,0,20.1,215.0,3.3,32.3,0,100.0,1.0,construction,14323.0,1,9,170.9,55,1
268.0,0,0,31.6,215.0,2.9,23.9,0,60.0,0.52,construction,4701.0,1,5,73.6,78,1
95.4,0,0,28.6,790.0,0.5,25.0,0,14.0,0.02,construction,6168.0,1,2,1.3,94,1
241.0,1,0,26.8,250.0,62.6,31.6,1,100.0,1.0,food,11777.0,4,8,1754.2,29,3
248.6,0,0,28.4,408.0,9.8,24.1,0,78.0,0.26,agri,10673.0,2,10,63.1,75,1
256.8,1,0,43.7,502.0,0.8,23.6,0,14.0,0.02,agri,12269.0,2,1,143.8,87,2
274.2,0,0,30.9,215.0,3.3,30.4,1,60.0,0.52,general,13769.0,1,10,182.0,66,1
468.3,0,0,30.0,422.0,11.7,27.7,0,42.0,0.65,fuel,8900.0,3,5,238.2,65,1
181.8,0,0,10.2,68.0,1.8,28.7,0,14.0,0.02,construction,7634.0,1,2,5.6,94,1
186.4,1,0,34.2,515.0,1.9,26.6,1,72.0,0.195,general,2433.0,1,5,217.5,65,2
198.1,1,0,61.1,1238.0,44.5,30.0,2,40.0,1.0,agri,11633.0,2,7,1270.1,40,2
298.0,0,0,24.3,40.0,18.6,32.2,1,100.0,0.25,medicine,8166.0,5,7,245.8,67,1
160.2,1,1,37.8,578.0,19.7,19.4,1,100.0,0.5,fuel,2435.0,3,6,454.8,50,2
183.4,1,0,67.9,1197.0,4.8,20.8,1,6.0,0.16,construction,2047.0,1,2,222.3,79,2
233.4,1,0,29.2,250.0,41.0,32.1,0,100.0,1.0,fuel,1215.0,3,8,717.3,40,2
107.3,1,1,47.9,550.0,0.9,22.4,1,36.0,1.0,general,12607.0,1,10,297.4,57,2
449.3,0,1,47.7,594.0,0.4,30.5,0,14.0,0.02,medicine,14966.0,5,3,147.7,85,1
209.9,1,0,41.3,470.0,4.6,33.8,3,80.0,0.5,agri,14646.0,2,6,893.4,55,2
181.7,1,0,55.6,1238.0,7.6,29.0,1,4.0,0.14,food,14746.0,4,3,231.1,79,2
239.5,1,0,37.9,250.0,13.3,18.7,2,100.0,1.0,fuel,7160.0,3,7,875.0,39,2
296.2,0,0,16.0,40.0,0.8,26.0,0,14.0,0.02,medicine,8117.0,5,1,5.2,96,1
181.8,1,0,29.0,515.0,2.4,24.1,1,12.0,0.03,agri,10102.0,2,12,192.5,83,2
495.4,0,0,32.8,422.0,2.8,23.4,0,70.0,1.0,construction,9166.0,1,9,291.0,57,1
202.2,0,0,16.0,115.0,9.0,25.6,1,72.0,0.195,fuel,12408.0,3,10,116.2,74,1
185.1,1,0,38.3,515.0,8.2,32.3,1,100.0,0.375,fuel,3291.0,3,6,275.7,58,2
192.0,1,1,68.9,1041.0,12.1,31.9,0,6.0,0.16,construction,8424.0,1,3,272.2,80,2
297.3,2,2,55.0,870.0,8.5,27.9,0,36.0,1.0,agri,1327.0,2,10,2045.6,50,2
232.0,1,0,33.0,250.0,25.3,18.3,2,100.0,1.0,fuel,5238.0,3,9,1030.9,36,2
275.8,0,0,33.4,215.0,0.8,22.7,2,10.0,0.08,fuel,10291.0,3,12,248.9,91,1
300.9,2,2,59.4,870.0,9.6,20.1,2,60.0,1.0,medicine,14460.0,5,8,3234.5,38,2
192.4,1,0,61.6,1238.0,3.9,19.8,1,40.0,1.0,general,11831.0,1,6,398.3,57,2
448.9,0,1,46.7,594.0,32.4,19.0,0,100.0,0.25,fuel,9786.0,3,7,560.2,61,2
304.2,2,2,51.5,870.0,3.2,18.6,2,6.0,0.16,general,3050.0,1,12,2484.6,72,2
95.4,0,0,31.2,790.0,2.9,33.6,2,84.0,0.13,construction,7759.0,1,10,93.9,69,1
333.2,0,0,10.1,20.0,0.3,29.0,1,13.0,0.04,fuel,9108.0,3,11,111.9,91,1
143.6,1,0,42.6,488.0,0.3,25.6,0,13.0,0.04,medicine,4775.0,5,12,80.9,84,2
477.9,0,0,29.9,422.0,2.5,22.3,2,7.0,0.1,fuel,2000.0,3,3,455.3,87,1
75.2,0,0,47.3,797.0,7.6,20.9,3,8.0,0.04,general,10314.0,1,3,163.3,82,1
205.8,0,0,38.1,688.0,0.4,23.2,2,13.0,0.04,fuel,2550.0,3,1,178.3,83,1
423.7,0,1,50.2,594.0,7.4,21.4,1,84.0,0.13,medicine,10318.0,5,4,400.6,64,1
346.2,0,0,40.7,750.0,16.6,22.5,2,30.0,1.0,construction,8758.0,1,6,802.2,57,1
201.5,0,0,25.5,115.0,81.3,20.8,3,100.0,0.375,general,14791.0,1,7,2113.0,44,3
244.5,0,0,35.1,408.0,6.1,31.6,3,100.0,0.5,fuel,6051.0,3,7,652.0,54,1
491.3,0,0,36.3,422.0,0.3,25.4,3,7.0,0.1,general,14141.0,1,12,974.1,81,1
261.2,1,0,38.0,502.0,1.5,30.5,0,14.0,0.02,food,13727.0,4,12,149.9,85,2
385.1,1,1,48.7,574.0,10.7,22.4,0,90.0,0.065,fuel,12434.0,3,4,500.6,61,2
194.7,1,1,65.5,1041.0,2.1,24.9,0,6.0,0.16,construction,13689.0,1,11,223.0,80,2
371.2,1,1,38.1,574.0,36.0,35.0,1,100.0,0.125,agri,14499.0,2,7,1216.8,52,2
281.2,0,0,32.0,802.0,10.5,31.5,0,100.0,0.375,fuel,12331.0,3,8,90.8,64,1
84.0,0,0,57.6,1438.0,1.2,23.8,1,40.0,1.0,agri,2915.0,2,9,84.8,60,1
335.6,0,0,14.0,20.0,9.1,22.8,3,78.0,0.26,construction,7703.0,1,10,831.5,64,1
173.8,1,1,42.7,578.0,5.2,30.0,0,78.0,0.26,agri,9741.0,2,4,226.5,67,2
296.7,2,2,57.5,870.0,4.5,27.1,2,36.0,1.0,agri,6765.0,2,4,3189.4,48,2
185.3,1,0,76.1,1197.0,0.9,33.1,1,6.0,0.16,food,6552.0,4,12,206.9,71,2
270.0,0,0,25.8,215.0,2.0,18.3,0,100.0,1.0,construction,11173.0,1,6,154.4,57,1
240.6,0,0,35.2,775.0,9.3,20.8,2,40.0,1.0,general,2586.0,1,9,488.8,62,1
104.6,1,1,50.7,550.0,0.3,28.0,0,36.0,1.0,medicine,6629.0,5,5,203.7,51,2
75.6,0,0,50.9,797.0,9.4,30.4,1,80.0,0.5,agri,3556.0,2,7,58.8,59,1
189.9,0,0,12.3,115.0,9.4,32.1,2,72.0,0.195,medicine,10204.0,5,5,226.5,70,1
179.1,1,0,60.2,1197.0,0.7,21.5,3,6.0,0.16,medicine,7463.0,5,12,621.5,77,2
244.7,0,0,35.4,775.0,16.2,33.6,2,40.0,1.0,general,9000.0,1,8,562.6,61,1
319.8,0,0,14.4,20.0,0.2,25.9,0,13.0,0.04,construction,14308.0,1,12,5.6,93,1
240.8,0,0,32.4,408.0,8.8,27.2,0,78.0,0.26,fuel,9533.0,3,4,56.9,69,1
109.4,1,1,43.4,550.0,22.6,21.7,3,60.0,1.0,general,10801.0,1,9,989.8,39,2
109.1,1,1,48.3,550.0,3.6,19.4,0,6.0,0.16,medicine,14505.0,5,3,129.1,77,2
203.2,0,0,43.7,688.0,9.2,22.2,1,78.0,0.26,medicine,9410.0,5,4,125.2,70,1
394.9,1,1,48.9,574.0,0.7,23.6,1,90.0,0.065,general,3575.0,1,4,637.9,63,2
136.3,1,0,35.1,488.0,0.6,25.0,0,13.0,0.04,medicine,10364.0,5,1,77.4,82,2
201.3,0,0,22.6,115.0,2.2,20.7,0,80.0,0.5,general,9527.0,1,6,51.2,73,1
475.7,0,0,29.0,422.0,0.8,31.1,3,7.0,0.1,general,6394.0,1,2,950.8,88,1
195.2,1,0,37.0,515.0,0.9,33.3,2,12.0,0.03,fuel,12827.0,3,1,347.5,82,2
259.4,1,0,43.1,762.0,51.7,18.8,1,100.0,0.375,general,9855.0,1,7,1026.9,41,2
461.6,0,0,34.6,422.0,42.6,18.8,1,70.0,1.0,general,12429.0,1,8,1218.3,47,2
159.8,1,1,42.6,578.0,9.6,25.8,1,78.0,0.26,agri,7797.0,2,5,335.4,62,2
184.8,1,0,62.3,1197.0,1.3,20.5,2,6.0,0.16,medicine,9390.0,5,11,354.5,77,2
318.7,0,0,27.0,202.0,4.7,26.8,0,14.0,0.02,fuel,12154.0,3,11,22.3,89,1
144.4,1,0,49.5,488.0,51.0,26.5,0,100.0,0.5,general,8430.0,1,9,438.3,43,2
311.4,0,0,17.9,40.0,0.3,25.1,0,14.0,0.02,construction,10940.0,1,3,3.7,92,1
259.2,0,0,31.7,802.0,1.3,24.1,1,12.0,0.03,construction,3917.0,1,1,90.2,91,1
286.0,0,0,28.8,215.0,9.5,20.2,0,10.0,0.08,general,6699.0,1,3,47.3,92,1
173.9,1,0,67.6,1197.0,2.4,30.9,2,6.0,0.16,medicine,14074.0,5,1,339.7,71,2
310.4,2,2,62.9,870.0,18.0,27.1,1,36.0,1.0,fuel,7343.0,3,10,3133.2,44,2
549.5,0,0,1.5,35.0,29.7,32.1,1,100.0,0.25,agri,8805.0,2,6,633.7,61,1
379.8,1,1,58.8,961.0,1.9,26.3,0,7.0,0.1,fuel,14265.0,3,11,416.1,81,2
372.6,1,1,43.9,574.0,3.4,25.8,1,100.0,0.125,food,5670.0,4,8,652.6,56,2
228.8,1,0,28.2,250.0,68.2,24.4,1,100.0,1.0,agri,11513.0,2,8,2004.9,28,3
163.1,1,1,53.6,578.0,3.3,18.4,0,13.0,0.04,agri,8674.0,2,2,177.0,81,2
257.2,1,0,40.7,762.0,0.9,18.9,2,12.0,0.03,construction,5612.0,1,12,458.1,81,2
327.1,0,0,12.2,20.0,0.3,33.4,1,13.0,0.04,food,1688.0,4,12,110.2,91,1
169.7,0,0,16.9,68.0,2.1,34.6,1,14.0,0.02,agri,4411.0,2,12,60.3,90,1
183.6,1,0,71.8,1197.0,6.5,34.8,0,36.0,1.0,general,2148.0,1,10,271.2,51,2
159.7,1,1,46.8,578.0,33.1,31.6,0,13.0,0.04,fuel,2693.0,3,3,339.7,80,2
210.4,1,0,33.5,470.0,7.5,30.9,0,80.0,0.5,fuel,1984.0,3,7,215.1,62,2
198.2,1,1,69.2,1041.0,8.1,28.8,0,6.0,0.16,construction,2072.0,1,2,258.0,82,2
570.7,0,0,0.0,35.0,5.5,20.9,1,14.0,0.02,food,14220.0,4,3,236.0,100,1
488.9,0,0,27.6,422.0,10.3,18.9,2,70.0,1.0,food,2744.0,4,6,1010.2,55,1
171.5,0,0,13.1,68.0,2.9,24.3,1,84.0,0.13,construction,14805.0,1,5,72.8,70,1
200.7,0,0,36.3,688.0,3.0,18.9,2,100.0,0.5,agri,7923.0,2,8,256.1,59,1
85.2,0,0,54.5,1438.0,10.2,20.9,1,24.0,0.91,fuel,3547.0,3,5,97.4,60,1
168.3,0,0,16.4,68.0,35.4,18.4,0,84.0,0.13,general,2467.0,1,5,128.4,71,2
183.3,1,0,55.7,1238.0,1.1,28.9,0,4.0,0.14,food,12712.0,4,12,116.2,83,2
262.2,1,0,42.2,502.0,0.1,30.0,1,14.0,0.02,medicine,1811.0,5,11,261.6,82,2
407.5,1,1,59.7,961.0,2.5,23.7,1,42.0,0.65,food,2288.0,4,5,939.4,60,2
212.9,1,0,35.3,470.0,0.6,31.1,0,8.0,0.04,fuel,5914.0,3,11,120.8,88,2
299.2,2,2,55.0,870.0,1.6,30.0,0,6.0,0.16,medicine,9609.0,5,12,1289.5,72,2
173.2,1,0,74.2,1197.0,93.8,31.3,3,60.0,1.0,fuel,8534.0,3,6,1861.7,18,3
135.4,1,0,48.3,488.0,4.2,32.3,2,78.0,0.26,food,13463.0,4,4,287.0,64,2
505.4,0,0,35.3,422.0,0.3,27.3,1,7.0,0.1,construction,2918.0,1,3,184.8,91,1
195.7,1,0,53.5,1238.0,28.0,19.5,0,40.0,1.0,general,762.0,1,7,448.8,51,2
480.2,0,0,35.8,422.0,7.2,28.5,0,70.0,1.0,general,2247.0,1,9,323.6,60,1
248.4,0,0,34.0,408.0,1.5,34.6,3,78.0,0.26,general,1912.0,1,4,544.3,69,1
323.5,0,0,37.0,202.0,11.0,24.0,1,100.0,0.25,construction,4207.0,1,9,209.5,67,1
374.9,1,1,42.7,574.0,1.6,21.3,2,15.0,0.01,agri,10847.0,2,12,952.3,83,2
262.1,0,0,20.9,102.0,3.6,32.8,1,84.0,0.13,medicine,2570.0,5,10,114.6,73,1
267.0,1,0,35.2,502.0,32.7,23.4,2,100.0,0.25,fuel,5017.0,3,9,943.3,50,2
172.8,1,1,43.7,578.0,3.1,26.2,1,78.0,0.26,fuel,5955.0,3,10,323.5,68,2
192.4,0,0,21.9,115.0,2.5,31.7,1,12.0,0.03,agri,4407.0,2,3,70.8,83,1
371.5,1,1,50.8,574.0,50.1,30.3,0,100.0,0.125,medicine,9462.0,5,8,1261.2,55,2
240.2,0,0,33.4,408.0,0.7,24.1,1,13.0,0.04,fuel,1264.0,3,12,82.3,90,1
267.1,0,0,19.3,215.0,3.5,27.1,2,10.0,0.08,fuel,2939.0,3,2,256.8,87,1
329.5,0,0,44.7,750.0,0.9,22.9,1,3.0,0.17,construction,12455.0,1,1,135.8,82,1
188.4,1,0,40.3,515.0,0.8,22.7,2,100.0,0.375,construction,607.0,1,9,401.3,56,2
390.7,1,1,52.0,961.0,0.1,27.7,3,42.0,0.65,medicine,10267.0,5,10,2223.8,64,2
373.0,1,1,50.1,961.0,0.8,22.1,1,7.0,0.1,agri,5673.0,2,11,614.9,76,2
94.7,0,0,27.3,790.0,12.6,32.1,3,100.0,0.25,agri,13727.0,2,7,247.8,64,1
169.9,0,0,14.7,68.0,0.0,30.6,1,14.0,0.02,food,904.0,4,12,54.8,94,1
263.2,0,0,26.6,102.0,0.9,28.7,0,14.0,0.02,construction,8692.0,1,1,4.9,93,1
234.9,0,0,36.4,775.0,0.5,30.8,0,4.0,0.14,medicine,6889.0,5,12,14.3,85,1
279.6,1,0,40.2,502.0,2.5,33.0,0,14.0,0.02,construction,13385.0,1,2,165.6,84,2
304.7,0,0,19.7,40.0,3.8,26.7,0,84.0,0.13,construction,3388.0,1,5,31.1,75,1
268.0,0,0,35.2,802.0,1.7,33.6,3,12.0,0.03,general,7247.0,1,3,524.3,88,1
186.4,0,0,16.1,115.0,4.3,25.4,1,80.0,0.5,construction,10961.0,1,6,125.0,70,1
355.0,0,0,42.7,750.0,40.5,26.8,1,30.0,1.0,construction,2164.0,1,7,889.1,59,2
317.7,0,0,26.4,202.0,1.1,22.6,1,14.0,0.02,general,14548.0,1,11,107.7,88,1
189.7,1,0,30.9,515.0,0.1,27.4,3,12.0,0.03,agri,3273.0,2,11,618.2,77,2
445.1,0,1,37.1,594.0,1.9,18.7,1,14.0,0.02,fuel,14257.0,3,3,334.9,85,1
210.0,1,0,33.7,470.0,16.0,18.9,3,80.0,0.5,food,11612.0,4,9,1050.9,52,2
142.2,1,0,41.7,488.0,3.1,29.0,0,13.0,0.04,medicine,8159.0,5,1,87.4,86,2
298.4,2,2,57.3,870.0,19.7,26.2,3,60.0,1.0,general,6062.0,1,8,3208.2,32,2
143.9,1,1,56.3,1117.0,14.3,28.3,0,30.0,1.0,construction,14507.0,1,9,355.6,51,2
134.8,1,0,44.9,488.0,4.1,18.4,0,78.0,0.26,construction,1661.0,1,4,103.7,64,2
244.4,0,0,39.4,775.0,0.0,19.4,3,4.0,0.14,agri,12890.0,2,3,492.0,84,1
171.1,1,1,48.5,578.0,0.0,31.3,1,13.0,0.04,medicine,3877.0,5,12,269.5,82,2
320.7,0,0,12.8,40.0,1.9,34.7,0,14.0,0.02,construction,11992.0,1,11,10.1,92,1
94.9,0,0,38.7,790.0,0.5,35.0,1,84.0,0.13,food,13574.0,4,4,36.5,70,1
281.5,0,0,22.5,102.0,0.0,19.3,2,14.0,0.02,fuel,7169.0,3,2,238.2,84,1
313.3,0,0,10.7,40.0,3.3,31.7,1,100.0,0.25,fuel,7790.0,3,8,155.7,70,1
260.4,1,0,51.3,502.0,4.2,23.7,0,84.0,0.13,general,11535.0,1,4,179.6,68,2
316.6,0,0,11.2,40.0,8.2,18.9,0,100.0,0.25,construction,8866.0,1,7,70.4,67,1
135.2,1,0,31.2,488.0,5.8,29.8,1,100.0,0.5,food,8651.0,4,9,207.9,59,2
256.7,1,0,39.6,502.0,0.3,33.0,3,14.0,0.02,fuel,4425.0,3,3,835.3,76,2
177.7,1,0,68.8,1197.0,8.4,33.0,1,36.0,1.0,general,7325.0,1,4,396.5,50,2
191.0,1,1,60.8,1041.0,1.3,31.4,0,36.0,1.0,fuel,12889.0,3,10,378.1,56,2
205.0,1,1,71.3,1041.0,3.2,20.0,1,36.0,1.0,agri,8235.0,2,4,587.6,53,2
196.9,0,0,14.9,115.0,0.6,31.7,0,12.0,0.03,fuel,8284.0,3,11,3.8,94,1
146.1,1,0,37.6,488.0,8.1,32.8,0,100.0,0.5,agri,1977.0,2,7,151.4,59,2
112.5,1,1,53.9,550.0,0.4,24.3,0,6.0,0.16,fuel,6392.0,3,1,124.3,82,2
269.6,0,0,37.2,802.0,1.1,31.9,1,12.0,0.03,general,8560.0,1,11,92.6,87,1
147.9,1,1,61.5,1117.0,6.1,20.4,1,30.0,1.0,construction,5401.0,1,9,442.6,61,2
281.0,1,0,46.4,502.0,14.0,19.5,2,100.0,0.25,general,7672.0,1,6,700.3,53,2
76.9,0,0,51.6,797.0,3.0,25.0,0,80.0,0.5,agri,13042.0,2,9,20.5,66,1
191.5,0,0,12.4,115.0,3.1,22.1,0,80.0,0.5,food,2457.0,4,7,51.4,69,1
303.7,2,2,63.8,870.0,21.2,25.5,2,60.0,1.0,food,11473.0,4,7,3264.6,35,2
476.9,0,0,29.2,422.0,8.2,20.6,2,42.0,0.65,food,4072.0,4,4,748.1,64,1
296.5,2,2,50.8,870.0,0.1,32.6,1,6.0,0.16,food,8150.0,4,12,1659.7,77,2
396.1,1,1,68.1,961.0,0.3,32.7,0,7.0,0.1,fuel,5904.0,3,1,419.2,77,2
192.1,0,0,16.8,115.0,12.5,19.2,1,80.0,0.5,fuel,12147.0,3,7,163.7,67,1
382.4,1,1,47.1,574.0,5.7,29.3,0,15.0,0.01,construction,8783.0,1,3,429.6,81,2
215.2,0,0,45.6,688.0,5.9,23.1,3,78.0,0.26,food,8404.0,4,5,505.8,62,1
86.4,0,0,61.3,1438.0,4.1,19.7,2,4.0,0.14,medicine,12927.0,5,11,87.9,78,1
337.1,0,0,37.2,750.0,1.6,25.4,2,30.0,1.0,medicine,1595.0,5,6,597.9,60,1
173.5,1,1,45.2,578.0,1.0,28.1,0,13.0,0.04,agri,14442.0,2,1,179.0,82,2
76.3,0,0,46.5,797.0,0.8,21.8,0,8.0,0.04,fuel,8666.0,3,11,1.9,92,1
323.8,0,0,15.9,40.0,0.0,22.0,2,14.0,0.02,food,7418.0,4,2,273.9,86,1
251.9,0,0,36.4,408.0,22.0,19.3,0,100.0,0.5,food,1754.0,4,8,160.1,53,1
80.8,0,0,52.5,1438.0,7.4,32.2,0,24.0,0.91,medicine,2879.0,5,5,48.9,64,1
234.8,0,0,32.3,408.0,13.9,33.4,0,78.0,0.26,general,13115.0,1,4,76.0,73,1
446.0,0,1,48.5,594.0,0.1,25.3,1,14.0,0.02,construction,14845.0,1,12,320.0,84,1
200.6,0,0,29.0,688.0,0.4,26.2,2,13.0,0.04,fuel,13184.0,3,12,173.9,87,1
250.5,0,0,40.4,408.0,36.0,32.5,0,100.0,0.5,food,6278.0,4,7,262.3,55,2
196.3,1,1,69.8,1041.0,8.8,22.9,0,36.0,1.0,construction,8139.0,1,5,441.2,55,2
372.7,1,1,50.4,961.0,1.1,21.7,2,70.0,1.0,general,11222.0,1,9,1536.1,44,2
243.2,0,0,31.0,775.0,5.0,23.4,0,24.0,0.91,agri,14021.0,2,5,136.2,70,1
196.8,1,0,62.2,1238.0,16.3,26.2,3,40.0,1.0,construction,3621.0,1,9,1254.3,45,2
402.1,1,1,58.0,961.0,0.4,21.6,3,7.0,0.1,general,1791.0,1,2,1820.0,80,2
485.6,0,0,29.0,422.0,33.1,33.4,1,70.0,1.0,food,2811.0,4,6,1013.1,47,2
198.9,1,0,53.3,1238.0,47.7,20.8,1,40.0,1.0,construction,1540.0,1,6,963.3,37,2
301.5,0,0,20.5,40.0,11.6,33.4,0,84.0,0.13,food,13689.0,4,10,66.7,70,1
197.6,0,0,10.5,115.0,0.1,33.5,0,12.0,0.03,agri,3105.0,2,1,2.5,96,1
196.5,0,0,21.0,115.0,28.4,26.6,0,48.0,0.26,food,12911.0,4,5,126.5,72,1
166.9,1,1,42.7,578.0,4.1,21.2,2,100.0,0.5,food,3485.0,4,6,553.5,54,2
72.7,0,0,42.6,797.0,2.4,34.0,1,48.0,0.26,food,7178.0,4,10,35.4,74,1
291.2,0,0,32.3,215.0,36.7,24.5,2,100.0,1.0,general,553.0,1,9,1005.2,40,2
83.5,0,0,50.9,1438.0,6.7,21.9,0,24.0,0.91,construction,3849.0,1,5,49.6,70,1
288.5,0,0,29.2,215.0,38.6,26.2,0,100.0,1.0,food,3623.0,4,8,478.3,45,2
239.9,0,0,37.6,775.0,0.8,24.4,1,4.0,0.14,food,14049.0,4,3,94.7,90,1
267.4,0,0,25.3,215.0,1.1,27.6,1,10.0,0.08,fuel,9913.0,3,3,98.5,90,1
275.3,1,0,37.7,502.0,11.0,23.4,0,100.0,0.25,medicine,14241.0,5,9,252.9,58,2
269.3,0,0,8.7,102.0,0.5,31.0,2,14.0,0.02,medicine,13074.0,5,11,230.9,90,1
178.0,0,0,10.8,68.0,0.9,27.6,0,100.0,0.25,food,13296.0,4,7,20.1,74,1
133.3,1,0,40.6,488.0,3.7,26.1,2,13.0,0.04,general,5717.0,1,2,250.3,79,2
195.8,0,0,20.2,115.0,1.5,29.9,0,12.0,0.03,food,14329.0,4,1,6.1,95,1
233.3,1,0,30.4,250.0,7.2,20.1,1,100.0,1.0,agri,7327.0,2,8,509.7,48,2
261.9,1,0,44.5,502.0,4.0,19.0,1,84.0,0.13,general,11356.0,1,10,306.1,58,2
500.9,0,0,31.8,422.0,1.8,18.7,3,7.0,0.1,construction,12607.0,1,11,1016.7,79,1
101.4,0,0,27.4,790.0,0.5,25.3,0,14.0,0.02,fuel,14230.0,3,1,1.4,92,1
189.9,0,0,20.7,115.0,0.4,19.4,1,8.0,0.04,medicine,13718.0,5,1,64.0,94,1
